id,name,price,brand,category,chipset,storage,screen_size,screen_tech,operating_system,connectivity,battery,rating,reviews_count,url,created_at,updated_at
334436,Huawei Watch Fit 4 43mm dây silicone,2740000,Huawei,Smartwatch,Hãng không công bố,Hãng không công bố,1.82 inch,AMOLED,Harmony OS,Bluetooth v5.2,Hãng không công bố,4.9,7119,https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-fit-4,05/2025,2025-09-02 15:17:01
325619,BeFit Hunter2 47.8mm dây silicone,790000,BeFit,Smartwatch,Realtek 8763EWE,Hãng không công bố,1.46 inch,IPS,Hãng không công bố,Bluetooth v5.0,440 mAh,4.9,1611,https://www.thegioididong.com/dong-ho-thong-minh/befit-hunter2-day-silicone,05/2024,2025-09-02 15:17:01
339492,Huawei Watch 5 46mm viền Titanium dây composite,9810000,Huawei,Smartwatch,Hãng không công bố,Hãng không công bố,1.5 inch,AMOLED LTPO 2.0,Harmony OS,Wi-Fi 6,Hãng không công bố,5.0,147,https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-5-46mm-day-composite,06/2025,2025-09-02 15:17:04
340067,Samsung Galaxy Watch8 LTE 44mm dây silicone,9990000,Samsung,Smartwatch,Exynos W1000,32 GB,1.47 inch,Super AMOLED,Wear OS được tùy biến bởi Samsung,Bluetooth v5.3,435 mAh,5.0,81,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch8-lte-44mm,07/2025,2025-09-02 15:17:04
330173,Huawei Watch GT 5 Pro 46mm viền Titanium dây cao su,6570000,Huawei,Smartwatch,Hãng không công bố,Hãng không công bố,1.43 inch,AMOLED,Harmony OS,Bluetooth v5.2,Hãng không công bố,4.9,3252,https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-gt-5-pro-46mm-vien-titanium-day-cao-su,05/2025,2025-09-02 15:17:09
316007,Apple Watch SE 2 GPS 40mm viền nhôm dây thể thao,5890000,Apple,Smartwatch,Apple S8,32 GB,Hãng không công bố,OLED,watchOS phiên bản mới nhất,Bluetooth v5.3,Hãng không công bố,4.9,8968,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2-40mm-vien-nhom-day-silicone,09/2024,2025-09-02 15:17:10
321616,Vòng tay thông minh Samsung Galaxy Fit3,970000,Samsung,Smartband,,256 MB,1.6 inch,AMOLED,FreeRTOS,Bluetooth v5.3,208 mAh,4.9,32050,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-fit3,2024,2025-09-02 15:17:10
334436,Huawei Watch Fit 4 43mm dây silicone,2740000,Huawei,Smartwatch,Hãng không công bố,Hãng không công bố,1.82 inch,AMOLED,Harmony OS,Bluetooth v5.2,Hãng không công bố,4.9,7119,https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-fit-4,05/2025,2025-09-02 15:17:13
321817,Xiaomi Watch S3 47mm dây silicone,2620000,Xiaomi,Smartwatch,BES2700IBP,4 GB,1.43 inch,AMOLED,HyperOS,Bluetooth v5.2,486 mAh,4.9,8987,https://www.thegioididong.com/dong-ho-thong-minh/xiaomi-watch-s-3,03/2024,2025-09-02 15:17:13
322845,Garmin Lily 2 Classic 34mm dây vải,7050000,Garmin,Smartwatch,Hãng không công bố,Hãng không công bố,1.00 x 0.84 inch,LCD,Hãng không công bố,Bluetooth v5.2,Hãng không công bố,5.0,51,https://www.thegioididong.com/dong-ho-thong-minh/garmin-lily-2-classic-day-vai,03/2024,2025-09-02 15:17:14
327697,Samsung Galaxy Watch7 44mm dây silicone,4840000,Samsung,Smartwatch,Exynos W1000,32 GB,1.47 inch,Super AMOLED,Wear OS được tùy biến bởi Samsung,Bluetooth v5.3,425 mAh,4.9,1353,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch7-44mm,07/2024,2025-09-02 15:17:17
337643,Amazfit Bip 6 46.3mm dây silicone,1960000,Amazfit,Smartwatch,RTL 8763EFL,512 MB,1.97 inch,AMOLED,Zepp OS,Bluetooth v5.2,340 mAh,4.9,278,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-bip-6,05/2025,2025-09-02 15:17:17
329160,Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây Milan,21290000,Apple,Smartwatch,Apple S10 SiP,64 GB,Hãng không công bố,OLED,watchOS phiên bản mới nhất,Bluetooth v5.3,Hãng không công bố,5.0,400,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s10-lte-46mm-vien-titanium-day-thep,09/2024,2025-09-02 15:17:17
329719,Apple Watch Ultra 2 GPS + Cellular 49mm viền Titanium đen dây Alpine,21890000,Apple,Smartwatch,Apple S9,64 GB,1.92 inch,OLED,watchOS phiên bản mới nhất,Bluetooth v5.3,Hãng không công bố,5.0,176,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-ultra-2-gps-cellular-49mm-vien-titanium-den-day-alpine,09/2024,2025-09-02 15:17:17
329477,Garmin Fenix 8 Sapphire 51mm viền Titanium dây silicone,28260000,Garmin,Smartwatch,Hãng không công bố,32 GB,1.4 inch,AMOLED,Hãng không công bố,Bluetooth v5.2,Hãng không công bố,5.0,36,https://www.thegioididong.com/dong-ho-thong-minh/garmin-fenix-8-sapphire-51mm,09/2024,2025-09-02 15:17:19
337834,Nhẫn thông minh Samsung Galaxy Ring Size 9,9810000,Samsung,Smartband,Hãng không công bố,8 MB,,,Zephyr RTOS,Bluetooth v5.4,19.5 mAh,5.0,15,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-ring-size-9,05/2025,2025-09-02 15:17:21
335088,Amazfit Active 2 43.9mm dây silicone,2480000,Amazfit,Smartwatch,RTL 8763EFL,512 MB,1.32 inch,AMOLED,Zepp OS,Bluetooth v5.2,270 mAh,5.0,682,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-active-2,03/2025,2025-09-02 15:17:21
334986,Garmin Instinct 3 45mm dây silicone,12070000,Garmin,Smartwatch,Hãng không công bố,4 GB,1.2 inch,AMOLED,Hãng không công bố,Bluetooth,Hãng không công bố,5.0,26,https://www.thegioididong.com/dong-ho-thong-minh/garmin-instinct-3-45mm,02/2025,2025-09-02 15:17:21
330174,Huawei Watch GT 5 41mm viền thép dây da,4600000,Huawei,Smartwatch,Hãng không công bố,Hãng không công bố,1.32 inch,AMOLED,Harmony OS,Bluetooth v5.2,Hãng không công bố,5.0,1050,https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-gt-5-41mm-vien-thep-day-da,10/2024,2025-09-02 15:17:23
