id,name,price,brand,category,chipset,ram,storage,screen_size,screen_tech,screen_resolution,screen_frequency,operating_system,battery,rating,reviews_count,url,created_at,updated_at
325799,Điện thoại Xiaomi Redmi 13 8GB/128GB,4210000,Xiaomi,Smartphone,MediaTek Helio G91 Ultra 8 nhân,8 GB,128 GB,"6.79""",IPS LCD,Full HD+ (1080 x 2460 Pixels),90 Hz,Android 14,5030 mAh,4.9,154334,https://www.thegioididong.com/dtdd/xiaomi-redmi-13,06/2024,2025-09-01 20:34:24
329135,Điện thoại iPhone 16 128GB,19090000,iPhone (Apple),Smartphone,Apple A18 6 nhân,8 GB,128 GB,"6.1""",OLED,Super Retina XDR (1179 x 2556 Pixels),60 Hz,iOS 18,22 giờ,4.9,18486,https://www.thegioididong.com/dtdd/iphone-16,09/2024,2025-09-01 20:34:24
336745,Điện thoại TCL 60 NXTPaper 8GB/256GB,4110000,TCL,Smartphone,MediaTek Helio G92 8 nhân,8 GB,256 GB,"6.8""",IPS LCD,Full HD+ (1080 x 2460 Pixels),90 Hz,Android 15,5200 mAh,4.9,217,https://www.thegioididong.com/dtdd/tcl-60-nxtpaper,05/2025,2025-09-01 20:34:24
336702,Điện thoại vivo V50 Lite 8GB/256GB,8530000,vivo,Smartphone,Snapdragon 685 8 nhân,8 GB,256 GB,"6.77""",AMOLED,Full HD+ (1080 x 2392 Pixels),120 Hz,Android 15,6500 mAh,4.9,8843,https://www.thegioididong.com/dtdd/vivo-v50-lite,05/2025,2025-09-01 20:34:25
339178,Điện thoại OPPO Reno14 F 5G 12GB/512GB,12260000,OPPO,Smartphone,Snapdragon 6 Gen 1 5G 8 nhân,12 GB,512 GB,"6.57""",AMOLED,Full HD+ (1080 x 2372 Pixels),120 Hz,Android 15,6000 mAh,5.0,9170,https://www.thegioididong.com/dtdd/oppo-reno14-f-5g-12gb-512gb,07/2025,2025-09-01 20:34:25
329149,Điện thoại iPhone 16 Pro Max 256GB,30290000,iPhone (Apple),Smartphone,Apple A18 Pro 6 nhân,8 GB,256 GB,"6.9""",OLED,Super Retina XDR (1320 x 2868 Pixels),120 Hz,iOS 18,33 giờ,4.9,247427,https://www.thegioididong.com/dtdd/iphone-16-pro-max,09/2024,2025-09-01 20:34:25
320336,Điện thoại Xiaomi 15 5G 12GB/512GB,21700000,Xiaomi,Smartphone,Qualcomm Snapdragon 8 Elite 8 nhân,12 GB,512 GB,"6.36""",AMOLED,1.5K (1200 x 2670 Pixels),120 Hz,Xiaomi HyperOS 2,5240 mAh,4.9,1025,https://www.thegioididong.com/dtdd/xiaomi-15,03/2025,2025-09-01 20:34:26
332234,Điện thoại realme C75 8GB/128GB,5590000,realme,Smartphone,MediaTek Helio G92 Max 8 nhân,8 GB,128 GB,"6.72""",IPS LCD,Full HD+ (1080 x 2400 Pixels),90 Hz,Android 14,6000 mAh,4.9,28349,https://www.thegioididong.com/dtdd/realme-c75-8gb-128gb,11/2024,2025-09-01 20:34:26
333364,Điện thoại Samsung Galaxy S25 5G 12GB/512GB,21690000,Samsung,Smartphone,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,12 GB,512 GB,"6.2""",Dynamic AMOLED 2X,Full HD+ (1080 x 2340 Pixels),120 Hz,Android 15,4000 mAh,5.0,308,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-512gb,01/2025,2025-09-01 20:34:26
337713,Điện thoại Xiaomi Redmi Note 14 Pro+ 5G 12GB/512GB,11160000,Xiaomi,Smartphone,Snapdragon 7s Gen 3 5G 8 nhân,12 GB,512 GB,"6.67""",AMOLED,1.5K (1220 x 2712 Pixels),120 Hz,Android 14,5110 mAh,4.9,9318,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro-plus-5g-12gb-512gb,01/2025,2025-09-01 20:34:27
303716,Điện thoại iPhone 15 256GB,18490000,iPhone (Apple),Smartphone,Apple A16 Bionic,6 GB,256 GB,"6.1""",OLED,Super Retina XDR (1179 x 2556 Pixels),60 Hz,iOS 17,3349 mAh,4.9,17076,https://www.thegioididong.com/dtdd/iphone-15-256gb,09/2023,2025-09-01 20:34:27
341837,Điện thoại Tecno Spark Go 2 3GB/64GB,2190000,Tecno,Smartphone,Unisoc T7250 8 nhân,3 GB,64 GB,"6.67""",IPS LCD,HD+ (720 x 1600 Pixels),120 Hz,Android 15 Go,5000 mAh,,,https://www.thegioididong.com/dtdd/tecno-spark-go-2,08/2025,2025-09-01 20:34:27
335638,Điện thoại Xiaomi Redmi 13x 8GB/128GB,4210000,Xiaomi,Smartphone,MediaTek Helio G91 Ultra 8 nhân,8 GB,128 GB,"6.79""",IPS LCD,Full HD+ (1080 x 2460 Pixels),90 Hz,Xiaomi HyperOS (Android 14),5030 mAh,4.9,33117,https://www.thegioididong.com/dtdd/xiaomi-redmi-13x,03/2025,2025-09-01 20:34:28
333148,Điện thoại Xiaomi Redmi Note 14 8GB/256GB,5580000,Xiaomi,Smartphone,MediaTek Helio G99-Ultra 8 nhân,8 GB,256 GB,"6.67""",AMOLED,Full HD+ (1080 x 2400 Pixels),120 Hz,Xiaomi HyperOS (Android 14),5500 mAh,4.9,69021,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-8gb-256gb,01/2025,2025-09-01 20:34:29
335916,Điện thoại Samsung Galaxy A26 5G 8GB/128GB,6270000,Samsung,Smartphone,Exynos 1380 8 nhân,8 GB,128 GB,"6.7""",Super AMOLED,Full HD+ (1080 x 2340 Pixels),120 Hz,Android 15,5000 mAh,5.0,1397,https://www.thegioididong.com/dtdd/samsung-galaxy-a26-8gb-128gb,04/2025,2025-09-01 20:34:31
333359,Điện thoại Samsung Galaxy S25 Plus 5G 12GB/256GB,22000000,Samsung,Smartphone,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,12 GB,256 GB,"6.7""",Dynamic AMOLED 2X,2K+ (1440 x 3120 Pixels),120 Hz,Android 15,4900 mAh,4.9,3572,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-plus,01/2025,2025-09-01 20:34:31
322789,Điện thoại Samsung Galaxy S24 FE 5G 8GB/128GB,12990000,Samsung,Smartphone,Exynos 2400e 8 nhân,8 GB,128 GB,"6.7""",Dynamic AMOLED 2X,Full HD+ (1080 x 2340 Pixels),120 Hz,Android 14,4700 mAh,4.9,6020,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-fe,09/2024,2025-09-01 20:34:31
325800,Điện thoại Xiaomi Redmi 13 6GB/128GB,3920000,Xiaomi,Smartphone,MediaTek Helio G91 Ultra 8 nhân,6 GB,128 GB,"6.79""",IPS LCD,Full HD+ (1080 x 2460 Pixels),90 Hz,Android 14,5030 mAh,4.9,184246,https://www.thegioididong.com/dtdd/xiaomi-redmi-13-6gb-128gb,06/2024,2025-09-01 20:34:31
334844,Điện thoại Xiaomi 15 Ultra 5G 16GB/512GB Trắng,31360000,Xiaomi,Smartphone,Qualcomm Snapdragon 8 Elite 8 nhân,16 GB,512 GB,"6.73""",AMOLED,2K+ (1440 x 3200 Pixels),120 Hz,Xiaomi HyperOS 2,5410 mAh,5.0,184,https://www.thegioididong.com/dtdd/xiaomi-15-ultra-trang,03/2025,2025-09-01 20:34:31
326023,Điện thoại vivo Y28 8GB/256GB,6380000,vivo,Smartphone,MediaTek Helio G85,8 GB,256 GB,"6.68 """,IPS LCD,HD+ (720 x 1608 Pixels),90 Hz,Android 14,6000 mAh,4.9,22858,https://www.thegioididong.com/dtdd/vivo-y28-256gb,06/2024,2025-09-01 20:34:31
