sku,name,price,brand,category,rating,reviews_count,url,release_date,updated_at,cpu,cpu_speed,gpu,ram,storage,rearcam_specs,frontcam_specs,screen_type,screen_size,screen_panel,screen_res,screen_rate,screen_nits,os,water_resistant,battery,charger,weight,material,connectivity,network,ports
329785,Điện thoại Samsung Galaxy S24 FE 5G 8GB/256GB,14060000,Samsung,Smartphone,4.9,35926,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-fe-8gb-256gb,09/2024,2025-09-17 01:12:09,Exynos 2400e 8 nhân,3.1 GHz,Xclipse 940,8 GB,256 GB,"Chính 50 MP & Phụ 12 MP, 8 MP",10 MP,Kính cường lực Corning Gorilla Glass Victus+,"6.7""",Dynamic AMOLED 2X,Full HD+ (1080 x 2340 Pixels),120 Hz,1900 nits,Android 14,IP68,4700 mAh,25 W,213 g,Khung kim loại & Mặt lưng kính,"Wi-Fi MIMO, Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac/ax, Dual-band (2.4 GHz/5 GHz), 6 GHz, NFC, v5.3",Hỗ trợ 5G,Type-C
329141,Điện thoại iPhone 16 Plus 512GB,31290000,iPhone (Apple),Smartphone,5.0,394,https://www.thegioididong.com/dtdd/iphone-16-plus-512gb,09/2024,2025-09-17 01:12:10,Apple A18 6 nhân,Hãng không công bố,Apple GPU 5 nhân,8 GB,512 GB,Chính 48 MP & Phụ 12 MP,12 MP,Kính cường lực Ceramic Shield,"6.7""",OLED,Super Retina XDR (1290 x 2796 Pixels),60 Hz,2000 nits,iOS 18,IP68,27 giờ,20 W,199 g,Khung nhôm & Mặt lưng kính cường lực,"NFC, v5.3, Wi-Fi MIMO, Wi-Fi 7",Hỗ trợ 5G,Type-C
328751,Điện thoại Samsung Galaxy A06 4GB/128GB,3430000,Samsung,Smartphone,4.9,9186,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-4gb-128gb,08/2024,2025-09-17 01:12:10,MediaTek Helio G85,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52,4 GB,128 GB,Chính 50 MP & Phụ 2 MP,8 MP,Kính cường lực,"6.7""",PLS LCD,HD+ (720 x 1600 Pixels),60 Hz,576 nits,Android 14,,5000 mAh,25 W,189 g,Khung & Mặt lưng nhựa,"Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band (2.4 GHz/5 GHz), v5.3",Hỗ trợ 4G,"Type-C, 3.5 mm"
332934,Điện thoại OPPO Reno13 5G 12GB/256GB,13200000,OPPO,Smartphone,4.9,21817,https://www.thegioididong.com/dtdd/oppo-reno13-5g,01/2025,2025-09-17 01:12:10,MediaTek Dimensity 8350 5G 8 nhân,"1 nhân 3.35 GHz, 3 nhân 3.2 GHz & 4 nhân 2.2 GHz",Mali-G615,12 GB,256 GB,"Chính 50 MP & Phụ 8 MP, 2 MP",50 MP,Kính cường lực Corning Gorilla Glass 7i,"6.59""",AMOLED,1.5K (1256 x 2760 Pixles),120 Hz,1200 nits,Android 15,"IP66, IP68, IP69",5600 mAh,80 W,181 g,Khung kim loại & Mặt lưng kính,"Wi-Fi hotspot, Wi-Fi 6, Dual-band (2.4 GHz/5 GHz), OTG, NFC, Hồng ngoại, v5.4",Hỗ trợ 5G,Type-C
334865,Điện thoại iPhone 16e 256GB,19190000,iPhone (Apple),Smartphone,5.0,496,https://www.thegioididong.com/dtdd/iphone-16e-256gb,02/2025,2025-09-17 01:12:10,Apple A18 6 nhân,Hãng không công bố,Apple GPU 4 nhân,8 GB,256 GB,48 MP,12 MP,Kính cường lực Ceramic Shield,"6.1""",OLED,Super Retina XDR (1170 x 2532 Pixels),60 Hz,1200 nits,iOS 18,IP68,26 giờ,20 W,167 g,Khung nhôm & Mặt lưng kính cường lực,"NFC, v5.3, Wi-Fi MIMO, Wi-Fi hotspot, Wi-Fi 6, Dual-band (2.4 GHz/5 GHz), 6 GHz",Hỗ trợ 5G,Type-C
340259,Điện thoại OPPO A5i 4GB/64GB,3290000,OPPO,Smartphone,4.9,1567,https://www.thegioididong.com/dtdd/oppo-a5i-4gb-64gb,07/2025,2025-09-17 01:12:10,Snapdragon 6s Gen 1 8 nhân,2.1 GHz,Adreno 610,4 GB,64 GB,8 MP,5 MP,Kính cường lực Panda,"6.67""",IPS LCD,HD+ (720 x 1604 Pixels),90 Hz,1000 nits,Android 14,IP54,5100 mAh,45 W,186 g,Khung nhựa & Mặt lưng thuỷ tinh hữu cơ,"Wi-Fi 802.11 a/b/g/n, Wi-Fi 5, Dual-band (2.4 GHz/5 GHz), v5.0, OTG",Hỗ trợ 4G,"Type-C, 3.5 mm"
303825,Điện thoại iPhone 15 Plus 512GB,28190000,iPhone (Apple),Smartphone,4.9,547,https://www.thegioididong.com/dtdd/iphone-15-plus-512gb,09/2023,2025-09-17 01:12:10,Apple A16 Bionic,3.46 GHz,Apple GPU 5 nhân,6 GB,512 GB,Chính 48 MP & Phụ 12 MP,12 MP,Kính cường lực Ceramic Shield,"6.7""",OLED,Super Retina XDR (1290 x 2796 Pixels),60 Hz,2000 nits,iOS 17,IP68,4383 mAh,20 W,201 g,Khung nhôm & Mặt lưng kính cường lực,"v5.3, Wi-Fi MIMO, Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi 6, NFC",Hỗ trợ 5G,Type-C
333281,Điện thoại realme Note 60x 4GB/64GB,2540000,realme,Smartphone,4.9,18883,https://www.thegioididong.com/dtdd/realme-note-60x-4gb,01/2025,2025-09-17 01:12:10,Unisoc Tiger T612,1.8 GHz,Mali-G57,4 GB,64 GB,8 MP,5 MP,Kính cường lực ArmorShell,"6.74""",IPS LCD,HD+ (720 x 1600 Pixels),90 Hz,560 nits,Android 14,IP54,5000 mAh,10 W,187 g,Khung kim loại & Mặt lưng kính,"OTG, v5.0, Wi-Fi 5, Wi-Fi 4, Dual-band (2.4 GHz/5 GHz)",Hỗ trợ 4G,"Type-C, 3.5 mm"
325013,Điện thoại vivo Y18 8GB/128GB,4410000,vivo,Smartphone,4.9,29394,https://www.thegioididong.com/dtdd/vivo-y18,05/2024,2025-09-17 01:12:10,MediaTek Helio G85,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52,8 GB,128 GB,Chính 50 MP & Phụ 0.08 MP,8 MP,Kính cường lực CSG,"6.56""",IPS LCD,HD+ (720 x 1612 Pixels),90 Hz,840 nits,Android 14,IP54,5000 mAh,15 W,185 g,Khung & Mặt lưng nhựa,"OTG, v5.0, Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz)",Hỗ trợ 4G,"Type-C, 3.5 mm"
338737,Điện thoại Samsung Galaxy Z Flip7 5G 12GB/512GB,30990000,Samsung,Smartphone,5.0,85,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip7-512gb,07/2025,2025-09-17 01:12:10,Exynos 2500 10 nhân,3.3 GHz,Xclipse 950,12 GB,512 GB,Chính 50 MP & Phụ 12 MP,10 MP,Kính cường lực Corning Gorilla Glass Victus 2,"Chính 6.9"" & Phụ 4.1""","Chính Dynamic AMOLED 2X, Phụ Super AMOLED",Chính Full HD+ (1080 x 2520 Pixels) & Phụ 948 x 1048 Pixels,120 Hz,2600 nits,Android 16,IP48,4300 mAh,25 W,188 g,Khung nhôm & Mặt lưng kính cường lực,"OTG, NFC, Wi-Fi MIMO, Wi-Fi hotspot, Wi-Fi Display, Wi-Fi 7, Dual-band (2.4 GHz/5 GHz), 6 GHz, v5.4",Hỗ trợ 5G,Type-C
