id,name,price,brand,category,screen_size,screen_tech,screen_resolution,screen_frequency,power_consumption,ports,rating,reviews_count,url,created_at,updated_at
341851,Màn hình AOC 24B36X/71 23.8 inch FHD/IPS/144Hz/0.5ms,2390000,AOC,Screen,23.8 inch,IPS,Full HD (1920 x 1080),144 Hz,18W,1 x HDMI 1.4,,,https://www.thegioididong.com/man-hinh-may-tinh/man-hinh-aoc-24b36x-71-23-8-inch-fhd-ips-144hz-0-5ms,2025,2025-09-01 23:33:51
339897,Màn hình Samsung S3 S30GD LS27D300GAEXXV 27 inch FHD/IPS/100Hz/5ms,2990000,Samsung,Screen,27 inch,IPS,Full HD (1920 x 1080),100 Hz,25W,1 x HDMI 1.4,5.0,80,https://www.thegioididong.com/man-hinh-may-tinh/samsung-s3-s30gd-ls27d300gaexxv-27-inch-fhd-ips-100hz-5ms,2025,2025-09-01 23:33:53
332008,Màn hình Asus VY279HGR 27 inch FHD/IPS/120Hz/1ms,2890000,Asus,Screen,27 inch,IPS,Full HD (1920 x 1080),120 Hz,21W,1 x Jack tai nghe 3.5 mm,4.9,706,https://www.thegioididong.com/man-hinh-may-tinh/asus-vy279hgr-27-inch-fhd-ips-120hz-1ms,2024,2025-09-01 23:33:56
334388,Màn hình Xiaomi A27Qi 27 inch 2K/IPS/100Hz/6ms,3790000,Xiaomi,Screen,27 inch,IPS,QHD (2560 x 1440),100 Hz,,1 x Audio Out,5.0,377,https://www.thegioididong.com/man-hinh-may-tinh/xiaomi-a27qi-27-inch-2k-ips-100hz-6ms,2025,2025-09-01 23:33:56
331922,Màn hình Gaming LG UltraGear 27GS60F-B.ATV 27 inch FHD/IPS/180Hz/1ms,0,LG,Screen,27 inch,IPS,Full HD (1920 x 1080),180 Hz,22W,1 x DisplayPort,5.0,118,https://www.thegioididong.com/man-hinh-may-tinh/lg-27gs60f-b-atv-27-inch-fhd-ips-180hz-1ms,2024,2025-09-01 23:33:59
339095,Màn hình Asus VA279HG-R 27 inch FHD/IPS/120Hz/1ms,2890000,Asus,Screen,27 inch,IPS,Full HD (1920 x 1080),120 Hz,15W,1 x HDMI,5.0,115,https://www.thegioididong.com/man-hinh-may-tinh/asus-va279hg-r-27-inch-fhd-ips-120hz-1ms,2025,2025-09-01 23:34:00
341516,Màn hình Gaming Dell Alienware AW2725DM 27 inch 2K/Fast IPS/180Hz/1ms,7990000,Dell,Screen,27 inch,Fast IPS,WQHD (2560 x 1440),180 Hz,25W,"2 x HDMI (HDCP 1.4 & 2.3) (Hỗ trợ lên đến QHD 2560 x 1440, 144 Hz, 10 bit, TMDS, HDR, VRR theo quy định trong HDMI 2.1)",5.0,9,https://www.thegioididong.com/man-hinh-may-tinh/dell-alienware-aw2725dm-27-inch-2k,2025,2025-09-01 23:34:00
335630,Màn hình Gaming GIGABYTE GS27FA 27 inch FHD/IPS/180Hz/1ms,3090000,GIGABYTE,Screen,27 inch,IPS,Full HD (1920 x 1080),180 Hz,23W,2 x HDMI 2.0,5.0,100,https://www.thegioididong.com/man-hinh-may-tinh/gigabyte-gs27fa-27fhd-ips-180hz-1ms,2024,2025-09-01 23:34:00
335842,Màn hình Samsung S3 S32GF LS24F320GAEXXV 23.8 inch FHD/IPS/120Hz/5ms,2390000,Samsung,Screen,23.8 inch,IPS,Full HD (1920 x 1080),120 Hz,25W,2 x HDMI,5.0,293,https://www.thegioididong.com/man-hinh-may-tinh/samsung-ls24f320gaexxv-23-8-inch-full-hd,2025,2025-09-01 23:34:01
331921,Màn hình Gaming LG UltraGear 24GS60F-B.ATV 23.8 inch FHD/IPS/180Hz/1ms,3090000,LG,Screen,23.8 inch,IPS,Full HD (1920 x 1080),180 Hz,18W,1 x DisplayPort,5.0,162,https://www.thegioididong.com/man-hinh-may-tinh/lg-24gs60f-b-atv-23-8-inch-fhd-ips-180hz-1ms,2024,2025-09-01 23:34:10
