id,name,price,brand,category,chipset,chipset_speed,gpu,ram,storage,screen_size,screen_tech,screen_resolution,screen_frequency,operating_system,battery,rating,reviews_count,url,created_at,updated_at
343061,Máy tính bảng Samsung Galaxy Tab S10 Lite 5G 6GB/128GB,10490000,Samsung,Tablet,Exynos 1380 8 nhân,4 nhân 2.4 GHz & 4 nhân 2 GHz,Mali-G68 MP5,6 GB,128 GB,"0.9""",TFT LCD,1320 x 2112 Pixels,90 Hz,Android 15,8000 mAh,5.0,2,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s10-lite-5g-6gb-128gb,09/2025,2025-09-02 15:16:59
335271,Máy tính bảng iPad Air M3 11 inch 5G 128GB,18990000,iPad (Apple),Tablet,Apple M3 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,128 GB,"11""",Retina IPS LCD,1640 x 2360 Pixels,,iPadOS 18,28.93 Wh,5.0,198,https://www.thegioididong.com/may-tinh-bang/ipad-air-m3-11-inch-5g-128gb,03/2025,2025-09-02 15:17:01
317623,Máy tính bảng Samsung Galaxy Tab A9+ 5G 4GB/64GB,7360000,Samsung,Tablet,Snapdragon 695,2.2 GHz,Adreno 619,4 GB,64 GB,"11""",TFT LCD,1200 x 1920 Pixels,90 Hz,Android 13,7040 mAh,4.9,24315,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a9-plus-5g,10/2023,2025-09-02 15:17:02
339380,Máy tính bảng Samsung Galaxy Tab S10 FE WiFi 12GB/256GB,11790000,Samsung,Tablet,Exynos 1580 8 nhân,2.9 GHz,Xclipse 540,12 GB,256 GB,"0.9""",TFT LCD,1440 x 2304 Pixels,90 Hz,Android 15,8000 mAh,5.0,148,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s10-fe-12gb-256gb,04/2025,2025-09-02 15:17:02
311063,Máy tính bảng Samsung Galaxy Tab S9 5G 12GB/256GB,18410000,Samsung,Tablet,Snapdragon 8 Gen 2 for Galaxy,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Adreno 740,12 GB,256 GB,"11""",Dynamic AMOLED 2X,1600 x 2560 Pixels,120 Hz,Android 13,8400 mAh,5.0,371,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s9-5g-256gb,07/2023,2025-09-02 15:17:03
315590,Máy tính bảng Samsung Galaxy Tab A9+ WiFi 4GB/64GB,5890000,Samsung,Tablet,Snapdragon 695,2.2 GHz,Adreno 619,4 GB,64 GB,"11""",TFT LCD,1200 x 1920 Pixels,90 Hz,Android 13,7040 mAh,4.9,7229,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a9-plus,10/2023,2025-09-02 15:17:03
322134,Máy tính bảng Samsung Galaxy Tab S6 Lite 2024 4G 4GB/64GB,7060000,Samsung,Tablet,Exynos 1280 8 nhân,2 nhân 2.4 GHz & 6 nhân 2 GHz,Mali-G68,4 GB,64 GB,"0.4""",TFT LCD,1200 x 2000 Pixels,60 Hz,Android 14,7040 mAh,4.9,2779,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s6-lite-2024,04/2024,2025-09-02 15:17:03
343062,Máy tính bảng Samsung Galaxy Tab S10 Lite WiFi 6GB/128GB,8990000,Samsung,Tablet,Exynos 1380 8 nhân,4 nhân 2.4 GHz & 4 nhân 2 GHz,Mali-G68 MP5,6 GB,128 GB,"0.9""",TFT LCD,1320 x 2112 Pixels,90 Hz,Android 15,8000 mAh,,,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s10-lite-wifi-6gb-128gb,09/2025,2025-09-02 15:17:04
317621,Máy tính bảng Samsung Galaxy Tab A9 4G 4GB/64GB,5400000,Samsung,Tablet,MediaTek Helio G99,2.2 GHz,Mali-G57 MC2,4 GB,64 GB,"8.7""",TFT LCD,800 x 1340 Pixels,60 Hz,Android 13,5100 mAh,4.9,27997,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a9-4g,10/2023,2025-09-02 15:17:05
328521,Máy tính bảng Xiaomi Redmi Pad SE 8.7 WiFi 4GB/128GB,3390000,Xiaomi,Tablet,MediaTek Helio G85 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52 MC2,4 GB,128 GB,"8.7""",IPS LCD,800 x 1340 Pixels,90 Hz,Android 14,6650 mAh,5.0,920,https://www.thegioididong.com/may-tinh-bang/redmi-pad-se-8-7-wifi-4gb-128gb,08/2024,2025-09-02 15:17:06
