id,name,onsale_price,brand,category,os,cpu,gpu,rating,reviews_count,is_new,url,retailer,created_at,updated_at
332936,Điện thoại OPPO Reno13 F 5G 8GB/256GB,9810000,OPPO,Smartphone,Android 15,,,4.9,107816,True,https://www.thegioididong.com/dtdd/oppo-reno13-f-5g,TGDD,01/2025,2025-08-27 21:51:54
333425,"Laptop Acer Aspire 16 AI A16 71M 71U7 - NX.J4YSV.002 (Ultra 7 155H, 16GB, 512GB, Full HD+, Win11)",19990000,Acer,Laptop,Windows 11 Home SL,Intel Core Ultra 7 Meteor Lake - 155H,Card tích hợp - Intel Arc Graphics,5.0,132,True,https://www.thegioididong.com/laptop/acer-aspire-16-ai-a16-71m-71u7-ultra-7-nxj4ysv002,TGDD,2024,2025-08-27 21:51:54
334998,"Laptop Acer Gaming Aspire 5 A515 58GM 598J - NX.KW1SV.002 (i5 13420H, 16GB, 512GB, RTX 2050 4GB, Full HD 144Hz, Win11)",17490000,Acer,Laptop,Windows 11 Home SL,Intel Core i5 Raptor Lake - 13420H,"Card rời - NVIDIA GeForce RTX 2050, 4 GB",5.0,189,True,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58gm-598j-i5-nxkw1sv002,TGDD,2024,2025-08-27 21:51:54
341752,"Laptop GIGABYTE Gaming A16 GA6H - GAMING-A16-CVHI3VN893SH (i7 13620H, 16GB, 512GB, RTX5060 8GB, WUXGA 165Hz, Win11)",32590000,GIGABYTE,Laptop,Windows 11 Home SL,Intel Core i7 Raptor Lake - 13620H,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",,,True,https://www.thegioididong.com/laptop/gigabyte-a16-ga6h-i7-13620h-gaming-a16-cvhi3vn893sh,TGDD,2025,2025-08-27 21:51:54
310449,"Laptop MSI Modern 15 B12MO - 625VN (i5 1235U, 8GB, 512GB, Full HD, Win11)",11490000,MSI,Laptop,Windows 11 Home SL,Intel Core i5 Alder Lake - 1235U,Intel Iris Xe Graphics,4.9,2083,True,https://www.thegioididong.com/laptop/msi-modern-15-b12mo-i5-625vn,TGDD,2023,2025-08-27 21:51:54
335915,Điện thoại Samsung Galaxy A26 5G 6GB/128GB,6070000,Samsung,Smartphone,Android 15,,,4.9,9794,True,https://www.thegioididong.com/dtdd/samsung-galaxy-a26-6gb-128gb,TGDD,04/2025,2025-08-27 21:51:54
303891,Điện thoại iPhone 15 Plus 128GB,18890000,iPhone (Apple),Smartphone,iOS 17,,,4.9,54567,True,https://www.thegioididong.com/dtdd/iphone-15-plus,TGDD,09/2023,2025-08-27 21:51:54
332451,Laptop MacBook Pro 14 inch Nano M4 Max 36GB/1TB,79790000,MacBook,Laptop,macOS Sequoia,Apple M4 Max - Hãng không công bố,Card tích hợp - 32 nhân GPU,5.0,28,True,https://www.thegioididong.com/laptop/macbook-pro-14-nano-m4-max-36-1t,TGDD,10/2024,2025-08-27 21:51:54
335372,Laptop MacBook Air 15 inch M4 16GB/256GB,29490000,MacBook,Laptop,macOS Sequoia,Apple M4 - Hãng không công bố,Card tích hợp - 10 nhân GPU,5.0,411,True,https://www.thegioididong.com/laptop/macbook-air-15-inch-m4-16gb-256gb,TGDD,03/2025,2025-08-27 21:51:54
333425,"Laptop Acer Aspire 16 AI A16 71M 71U7 - NX.J4YSV.002 (Ultra 7 155H, 16GB, 512GB, Full HD+, Win11)",19990000,Acer,Laptop,Windows 11 Home SL,Intel Core Ultra 7 Meteor Lake - 155H,Card tích hợp - Intel Arc Graphics,5.0,132,True,https://www.thegioididong.com/laptop/acer-aspire-16-ai-a16-71m-71u7-ultra-7-nxj4ysv002,TGDD,2024,2025-08-27 21:51:54
