id,name,onsale_price,brand,category,os,cpu/chipset,gpu,ram,storage,rating,reviews_count,is_new,url,retailer,created_at,updated_at
331568,Laptop MacBook Pro 14 inch M4 Pro 24GB/512GB,47690000,MacBook,Laptop,macOS Sequoia,Apple M4 Pro - Hãng không công bố,Card tích hợp - 16 nhân GPU,24 GB,512 GB SSD,5.0,668,True,https://www.thegioididong.com/laptop/macbook-pro-14-inch-m4-pro-24gb-512gb,TGDD,10/2024,2025-08-28 22:40:39
329151,Điện thoại iPhone 16 Pro Max 1TB,42690000,iPhone (Apple),Smartphone,iOS 18,Apple A18 Pro 6 nhân,,8 GB,1 TB,5.0,8083,True,https://www.thegioididong.com/dtdd/iphone-16-pro-max-1tb,TGDD,09/2024,2025-08-28 22:40:39
329138,Điện thoại iPhone 16 Plus 128GB,21990000,iPhone (Apple),Smartphone,iOS 18,Apple A18 6 nhân,,8 GB,128 GB,4.9,18743,True,https://www.thegioididong.com/dtdd/iphone-16-plus,TGDD,09/2024,2025-08-28 22:40:39
320336,Điện thoại Xiaomi 15 5G 12GB/512GB,24500000,Xiaomi,Smartphone,Xiaomi HyperOS 2,Qualcomm Snapdragon 8 Elite 8 nhân,,12 GB,512 GB,4.9,1025,True,https://www.thegioididong.com/dtdd/xiaomi-15,TGDD,03/2025,2025-08-28 22:40:39
335369,Laptop MacBook Air 13 inch M4 32GB/256GB,35490000,MacBook,Laptop,macOS Sequoia,Apple M4 - Hãng không công bố,Card tích hợp - 10 nhân GPU,32 GB,256 GB SSD,5.0,14,True,https://www.thegioididong.com/laptop/macbook-air-13-inch-m4-32gb-256gb,TGDD,03/2025,2025-08-28 22:40:39
336967,"Laptop Acer Aspire Lite 15 AL15 71P 517D - NX.J7KSV.001 (i5 12450H, 16GB, 512GB, Full HD, Win11)",13990000,Acer,Laptop,Windows 11 Home SL,Intel Core i5 Alder Lake - 12450H,Intel UHD Graphics,16 GB DDR5 (1 khe 16 GB + 1 khe rời) Đang cập nhật,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",5.0,967,True,https://www.thegioididong.com/laptop/acer-aspire-lite-15-al15-71p-517d-i5-nxj7ksv001,TGDD,2025,2025-08-28 22:40:39
335588,Điện thoại realme C75x 6GB/128GB,4610000,realme,Smartphone,Android 15,MediaTek Helio G81-Ultra 8 nhân,,6 GB,128 GB,4.9,11717,True,https://www.thegioididong.com/dtdd/realme-c75x-6gb-128gb,TGDD,04/2025,2025-08-28 22:40:39
339616,"Laptop Lenovo IdeaPad Slim 5 OLED 14IAH10 - 83NC001AVN (Ultra 7 255H, 24GB, 1TB, WUXGA OLED, Win11)",26890000,Lenovo,Laptop,Windows 11 Home SL,Intel Core Ultra 7 Arrow Lake - 255H,Card tích hợp - Intel Arc Graphics,24 GB DDR5 (1 khe 12 GB + 1 khe 12 GB) 4800 MHz,1 TB SSD NVMe PCIe Gen 4,,,True,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-oled-14iah10-ultra-7-83nc001avn,TGDD,2025,2025-08-28 22:40:39
332452,Laptop MacBook Pro 16 inch Nano M4 Pro 24GB/512GB,67090000,MacBook,Laptop,macOS Sequoia,Apple M4 Pro - Hãng không công bố,Card tích hợp - 20 nhân GPU,24 GB,512 GB SSD,5.0,16,True,https://www.thegioididong.com/laptop/macbook-pro-16-nano-m4-pro-24-512,TGDD,10/2024,2025-08-28 22:40:39
332934,Điện thoại OPPO Reno13 5G 12GB/256GB,14200000,OPPO,Smartphone,Android 15,MediaTek Dimensity 8350 5G 8 nhân,,12 GB,256 GB,4.9,21376,True,https://www.thegioididong.com/dtdd/oppo-reno13-5g,TGDD,01/2025,2025-08-28 22:40:39
