sku,name,price,brand,category,rating,reviews_count,url,release_date,cpu,cpu_speed,gpu,ram,storage,rearcam_specs,frontcam_specs,screen_type,screen_size,screen_panel,screen_res,screen_rate,screen_nits,os,water_resistant,battery,charger,weight,material,connectivity,network,ports,updated_at
303716,Điện thoại iPhone 15 256GB,18490000,iPhone (Apple),Smartphone,4.9,18151,https://www.thegioididong.com/dtdd/iphone-15-256gb,09/2023,Apple A16 Bionic,3.46 GHz,Apple GPU 5 nhân,6 GB,256 GB,Chính 48 MP & Phụ 12 MP,12 MP,Kính cường lực Ceramic Shield,"6.1""",OLED,Super Retina XDR (1179 x 2556 Pixels),60 Hz,2000 nits,iOS 17,IP68,3349 mAh,20 W,171 g,Khung nhôm & Mặt lưng kính cường lực,"NFC, Wi-Fi MIMO, Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi 6, v5.3",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
333347,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB,26380000,Samsung,Smartphone,4.9,14472,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-ultra,01/2025,Qualcomm Snapdragon 8 Elite For Galaxy 8 nhân,4.47 GHz,Adreno 830,12 GB,256 GB,"Chính 200 MP & Phụ 50 MP, 50 MP, 10 MP",12 MP,Kính cường lực Corning Gorilla Armor 2,"6.9""",Dynamic AMOLED 2X,2K+ (1440 x 3120 Pixels),120 Hz,2600 nits,Android 15,IP68,5000 mAh,45 W,218 g,Khung Titan & Mặt lưng kính cường lực,"NFC, Wi-Fi MIMO, Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 7, Dual-band (2.4 GHz/5 GHz), 6 GHz, v5.4",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
335174,Điện thoại Samsung Galaxy A36 5G 8GB/256GB,8630000,Samsung,Smartphone,4.9,29757,https://www.thegioididong.com/dtdd/samsung-galaxy-a36-8gb-256gb,03/2025,Snapdragon 6 Gen 3 8 nhân,2.4 GHz,Adreno 710,8 GB,256 GB,"Chính 50 MP & Phụ 8 MP, 5 MP",12 MP,Kính cường lực Corning Gorilla Glass Victus+,"6.7""",Super AMOLED,Full HD+ (1080 x 2340 Pixels),120 Hz,1200 nits,Android 15,IP67,5000 mAh,45 W,195 g,Khung nhựa & Mặt lưng kính,"NFC, Wi-Fi MIMO, Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 6, Dual-band (2.4 GHz/5 GHz), v5.4",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
327192,Điện thoại OPPO Reno12 5G 12GB/512GB,10240000,OPPO,Smartphone,4.9,47356,https://www.thegioididong.com/dtdd/oppo-reno12-5g-12gb-512gb,07/2024,MediaTek Dimensity 7300-Energy 5G 8 nhân,4 nhân 2.5 GHz & 4 nhân 2 GHz,Mali-G615,12 GB,512 GB,"Chính 50 MP & Phụ 8 MP, 2 MP",32 MP,Kính cường lực Corning Gorilla Glass 7i,"6.7""",AMOLED,Full HD+ (1080 x 2412 Pixels),120 Hz,1200 nits,Android 14,IP65,5000 mAh,80 W,177 g,Khung nhựa & Mặt lưng kính,"OTG, NFC, Hồng ngoại, v5.4, Wi-Fi MIMO, Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 6, Wi-Fi 5, Dual-band (2.4 GHz/5 GHz)",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
323563,Điện thoại Samsung Galaxy M35 5G 8GB/256GB,0,Samsung,Smartphone,4.9,32635,https://www.thegioididong.com/dtdd/samsung-galaxy-m35-5g,06/2024,Exynos 1380 8 nhân,4 nhân 2.4 GHz & 4 nhân 2 GHz,Mali-G68 MP5,8 GB,256 GB,"Chính 50 MP & Phụ 8 MP, 2 MP",13 MP,Kính cường lực,"6.6""",Super AMOLED,Full HD+ (1080 x 2340 Pixels),120 Hz,1000 nits,Android 14,,6000 mAh,25 W,222 g,Khung & Mặt lưng nhựa,"NFC, Wi-Fi MIMO, Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 6, Dual-band (2.4 GHz/5 GHz), v5.3",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
330619,Điện thoại realme 13+ 5G 12GB/256GB,9810000,realme,Smartphone,4.9,3202,https://www.thegioididong.com/dtdd/realme-13-plus-5g,11/2024,MediaTek Dimensity 7300 Energy 5G 8 nhân,2.5 GHz,Mali-G615,12 GB,256 GB,"Chính 50 MP & Phụ 2 MP, Flicker",16 MP,Kính cường lực AGC DT-Star2,"6.67""",OLED,Full HD+ (1080 x 2400 Pixels),120 Hz,2000 nits,Android 14,IP65,5000 mAh,80 W,185 g,Khung & Mặt lưng nhựa,"Wi-Fi hotspot, Wi-Fi 802.11 a/b/g/n, Wi-Fi 6, Wi-Fi 5, Dual-band (2.4 GHz/5 GHz), OTG, NFC, v5.4",Hỗ trợ 5G,"3.5 mm, Type-C",2025-09-09 11:47:33
334227,Điện thoại vivo Y29 8GB/256GB,7160000,vivo,Smartphone,4.9,20419,https://www.thegioididong.com/dtdd/vivo-y29-8gb-256gb,03/2025,Snapdragon 685 8 nhân,4 nhân 2.8 GHz & 4 nhân 1.9 GHz,Adreno 610,8 GB,256 GB,Chính 50 MP & Phụ 2 MP,8 MP,Kính cường lực Schott Xensation α,"6.68 """,IPS LCD,HD+ (720 x 1608 Pixels),120 Hz,1000 nits,Android 15,IP64,6500 mAh,44 W,205 g,Khung & Mặt lưng nhựa,"Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), OTG, v5.0",Hỗ trợ 4G,Type-C,2025-09-09 11:47:33
335918,Điện thoại Xiaomi Redmi A5 4GB/128GB,3240000,Xiaomi,Smartphone,4.9,20479,https://www.thegioididong.com/dtdd/xiaomi-redmi-a5-4gb-128gb,04/2025,Unisoc T7250 8 nhân,2 nhân 1.8 GHz & 6 nhân 1.6 GHz,Mali-G57,4 GB,128 GB,Chính 32 MP & Phụ QVGA,8 MP,Hãng không công bố,"6.88 """,IPS LCD,HD+ (720 x 1640 Pixels),120 Hz,450 nits,Android 15,,5200 mAh,15 W,193 g,Khung & Mặt lưng nhựa,"v5.2, Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), OTG",Hỗ trợ 4G,"3.5 mm, Type-C",2025-09-09 11:47:33
333834,Điện thoại HONOR X5b 4GB/64GB,2160000,HONOR,Smartphone,4.9,6863,https://www.thegioididong.com/dtdd/honor-x5b,01/2025,MediaTek Helio G36 8 nhân,4 nhân 2.2 GHz & 4 nhân 1.6 GHz,IMG PowerVR GE8320,4 GB,64 GB,Chính 13 MP & Ống kính phụ,5 MP,Kính thường,"6.56""",TFT LCD,HD+ (720 x 1612 Pixels),90 Hz,530 nits,Android 14,,5200 mAh,10 W,194 g,Khung & Mặt lưng nhựa,"Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band (2.4 GHz/5 GHz), OTG, v5.1",Hỗ trợ 4G,"3.5 mm, Type-C",2025-09-09 11:47:33
339177,Điện thoại OPPO Reno14 F 5G 12GB/256GB,11290000,OPPO,Smartphone,4.9,48318,https://www.thegioididong.com/dtdd/oppo-reno14-f-5g-12gb-256gb,07/2025,Snapdragon 6 Gen 1 5G 8 nhân,2.2 GHz,Adreno 710,12 GB,256 GB,"Chính 50 MP & Phụ 8 MP, 2 MP",32 MP,Kính cường lực AGC DT-Star D+,"6.57""",AMOLED,Full HD+ (1080 x 2372 Pixels),120 Hz,1400 nits,Android 15,"IP66, IP68, IP69",6000 mAh,45 W,180 g,Khung nhựa & Mặt lưng thuỷ tinh hữu cơ,"Wi-Fi hotspot, Wi-Fi 5, Dual-band (2.4 GHz/5 GHz), OTG, NFC, v5.1",Hỗ trợ 5G,Type-C,2025-09-09 11:47:33
