id,name,price,brand,category,cpu,cpu_speed,gpu,ram,ram_type,storage,screen_size,screen_tech,screen_resolution,screen_frequency,operating_system,battery,rating,reviews_count,url,created_at,updated_at
334996,"Laptop Acer Aspire Lite AL14 52M 54CJ - NX.J39SV.002 (i5 1334U, 16GB, 512GB, WUXGA, Win11)",14190000,Acer,Laptop,Intel Core i5 Raptor Lake - 1334U,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),16 GB,DDR5 (1 khe 16 GB + 1 khe rời) 4800 MHz,"512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","14""",IPS,WUXGA (1920 x 1200),60Hz,Windows 11 Home SL,"3-cell Li-ion, 58 Wh",5.0,1366,https://www.thegioididong.com/laptop/acer-aspire-lite-al14-52m-54cj-i5-nxj39sv002,2024,2025-09-01 23:33:12
313974,"Laptop HP Gaming VICTUS 16 s0077AX - 8C5N6PA (R7 7840HS, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",22590000,HP,Laptop,AMD Ryzen 7 - 7840HS,3.8 GHz (Lên đến 5.10 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB) 5600 MHz,512 GB SSD NVMe PCIe,"16.1""",IPS,Full HD (1920 x 1080),144Hz,Windows 11 Home SL,"4-cell, 70Wh",4.9,525,https://www.thegioididong.com/laptop/hp-gaming-victus-16-s0077ax-r7-8c5n6pa,2023,2025-09-01 23:33:12
337474,"Laptop Dell Inspiron 15 3520 - N3520-i5U085W11SLU (i5 1235U, 8GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",13490000,Dell,Laptop,Intel Core i5 Alder Lake - 1235U,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),Card tích hợp - Intel UHD Graphics,8 GB,DDR4 (1 khe 8 GB + 1 khe rời) 2666 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","15.6""",Chống chói Anti Glare,Full HD (1920 x 1080),120Hz,Windows 11 Home SL + Office Home 2024 vĩnh viễn,"3-cell, 41Wh",5.0,688,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-n3520i5u085w11slu,2025,2025-09-01 23:33:12
328814,"Laptop HP 240 G9 - AG2J7AT (i5 1235U, 16GB, 512GB, Full HD, Win11)",14990000,HP,Laptop,Intel Core i5 Alder Lake - 1235U,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),16 GB,DDR4 (1 khe 16 GB + 1 khe rời) 3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","14""",IPS,Full HD (1920 x 1080),60Hz,Windows 11 Home SL,"3-cell, 41Wh",5.0,4179,https://www.thegioididong.com/laptop/hp-240-g9-i5-ag2j7at,2024,2025-09-01 23:33:12
337420,"Laptop HP 245 G10 - B8PF9AT (R5 7530U, 8GB, 512GB, Full HD, Win11)",12190000,HP,Laptop,AMD Ryzen 5 - 7530U,2.00 GHz (Lên đến 4.50 GHz khi tải nặng),Card tích hợp - AMD Radeon Graphics,8 GB,DDR4 (1 khe 8 GB onboard + 1 khe trống) 3200 MHz,512 GB SSD NVMe PCIe,"14""",IPS,Full HD (1920 x 1080),60Hz,Windows 11 Home SL,"3-cell, 41Wh",5.0,611,https://www.thegioididong.com/laptop/hp-245-g10-r5-b8pf9at,2025,2025-09-01 23:33:13
327710,"Laptop MSI Modern 14 C13M - 611VN (i5 1335U, 16GB, 512GB, Full HD, Win11)",14690000,MSI,Laptop,Intel Core i5 Raptor Lake - 1335U,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),Card tích hợp - Intel Iris Xe Graphics,16 GB,DDR4 (Onboard) 3200 MHz,512 GB SSD NVMe PCIe,"14""",IPS,Full HD (1920 x 1080),60Hz,Windows 11 Home SL,"3-Cell, 39.3 Wh",5.0,522,https://www.thegioididong.com/laptop/msi-modern-14-c13m-i5-611vn,2023,2025-09-01 23:33:13
332365,"Laptop Lenovo Gaming LOQ 15IAX9E - 83LK000BVN (i5 12450HX, 16GB, 512GB, RTX 2050 4GB, Full HD 144Hz, Win11)",17990000,Lenovo,Laptop,Intel Core i5 Alder Lake - 12450HX,Lên đến 4.40 GHz khi tải nặng,"Card rời - NVIDIA GeForce RTX 2050, 4 GB",16 GB,DDR5 (1 khe RAM) 4800 MHz,512 GB SSD NVMe PCIe,"15.6""",IPS,Full HD (1920 x 1080),144Hz,Windows 11 Home SL,57Wh,4.9,2429,https://www.thegioididong.com/laptop/lenovo-loq-15iax9e-i5-83lk000bvn,2024,2025-09-01 23:33:14
327097,"Laptop HP 15 fd1063TU - 9Z2Y1PA (Ultra 5 125H, 16GB, 512GB, Full HD, Win11)",17590000,HP,Laptop,Intel Core Ultra 5 Meteor Lake - 125H,1.20 GHz (Lên đến 4.50 GHz khi tải nặng),Card tích hợp - Intel Graphics,16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB) 5600 MHz,512 GB SSD NVMe PCIe,"15.6""",IPS,Full HD (1920 x 1080),60Hz,Windows 11 Home SL,"3-cell, 41Wh",4.9,1168,https://www.thegioididong.com/laptop/hp-15-fd1063tu-ultra-5-9z2y1pa,2024,2025-09-01 23:33:14
335554,"Laptop Lenovo Gaming LOQ 15IRX9 - 83DV003CVN (i5 13450HX, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",22890000,Lenovo,Laptop,Intel Core i5 Raptor Lake - 13450HX,2.40 GHz (Lên đến 4.60 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16 GB,DDR5 (1 khe 16 GB + 1 khe rời) 4800 MHz,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","15.6""",Low Blue Light,Full HD (1920 x 1080),144Hz,Windows 11 Home SL,60 Wh,5.0,371,https://www.thegioididong.com/laptop/lenovo-loq-15irx9-i5-83dv003cvn,2024,2025-09-01 23:33:14
333094,"Laptop Asus Gaming ROG Strix G16 G614JU - N3509W (i7 13650HX, 32GB, 1TB, RTX 4050 6GB, Full HD+ 165Hz, Win11)",35490000,Asus,Laptop,Intel Core i7 Raptor Lake - 13650HX,2.60 GHz (Lên đến 4.90 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 4050, 6 GB",32 GB,DDR5 (1 khe 16 GB + 1 khe 16 GB) 4800 MHz,1 TB SSD NVMe PCIe Gen 4,"16""",IPS,Full HD+ (1920 x 1200),165 Hz,Windows 11 Home SL,"4-cell, 90Wh",5.0,181,https://www.thegioididong.com/laptop/asus-rog-strix-g16-g614ju-i7-n3509w,2024,2025-09-01 23:33:14
332578,"Laptop Acer Aspire 7 A715 76 53PJ - NH.QGESV.007 (i5 12450H, 16GB, 512GB, Full HD, Win11)",13990000,Acer,Laptop,Intel Core i5 Alder Lake - 12450H,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),Card tích hợp - Intel UHD Graphics,16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB) 3200 MHz,512 GB SSD NVMe PCIe,"15.6""",IPS,Full HD (1920 x 1080),60Hz,Windows 11 Home SL,"3-cell, 50Wh",4.9,2199,https://www.thegioididong.com/laptop/acer-aspire-7-a715-76-53pj-i5-nhqgesv007,2023,2025-09-01 23:33:15
333886,"Laptop Dell Inspiron 15 3520 - N5I5057W1 (i5 1235U, 16GB, 512GB, Full HD 120Hz, OfficeHS, Win11)",15490000,Dell,Laptop,Intel Core i5 Alder Lake - 1235U,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),Card tích hợp - Intel Iris Xe Graphics,16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB) 2666 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","15.6""",Chống chói Anti Glare,Full HD (1920 x 1080),120Hz,Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,"3-cell, 41Wh",4.9,5023,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-n5i5057w1,,2025-09-01 23:33:15
339265,"Laptop HP EliteBook 635 Aero G11 - B91D3PT (R7 8840HS, 32GB, 512GB, WUXGA, Win11)",27190000,HP,Laptop,AMD Ryzen 7 - 8840HS,3.30 GHz (Lên đến 5.10 GHz khi tải nặng),Card tích hợp - AMD Radeon Graphics,32 GB,LPDDR5 (Onboard) 6400 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","13.3""",IPS,WUXGA (1920 x 1200),Hãng không công bố,Windows 11 Home SL,"3-cell, 43Wh",5.0,53,https://www.thegioididong.com/laptop/hp-elitebook-635-aero-g11-r7-b91d3pt,2025,2025-09-01 23:33:15
339212,"Laptop GIGABYTE Gaming G6 KF RC56 - 9RC56KF0HJIIXIVN000 (i7 13620H, 16GB, 512GB, RTX 4060 8GB, WUXGA 165Hz, Win11)",25690000,GIGABYTE,Laptop,Intel Core i7 Raptor Lake - 13620H,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 4060, 8 GB",16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)","16""",IPS,WUXGA (1920 x 1200),165 Hz,Windows 11 Home SL,"4-cell, 54Wh",5.0,15,https://www.thegioididong.com/laptop/gigabyte-g6-kf-rc56-i7-9rc56kf0hjiixivn000,2024,2025-09-01 23:33:16
