id,name,price,brand,category,cpu,cpu_speed,gpu,ram,ram_tech,storage,screen_size,screen_tech,screen_resolution,screen_frequency,operating_system,battery,rating,reviews_count,url,created_at,updated_at
337476,"Laptop Dell Inspiron 15 3520 - N3520-i5U165W11SLU-BL (i5 1235U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",15990000,Dell,Laptop,,,,,,,,,,,,,5.0,912,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-n3520i5u165w11slubl,2025,2025-08-31 18:50:23
330162,"Laptop Asus TUF Gaming A15 FA506NFR - HN113W (R7 7435HS, 16GB, 512GB, RTX 2050 4GB, Full HD 144Hz, Win11)",17690000,Asus,Laptop,,,,,,,,,,,,,4.9,1436,https://www.thegioididong.com/laptop/asus-fa506nfr-r7-hn113w,2024,2025-08-31 18:50:24
327051,"Laptop Lenovo Gaming LOQ 15ARP9 - 83JC0040VN (R7 7435HS, 24GB, 512GB, RTX 4050 6GB, Full HD 144Hz, Win11)",0,Lenovo,Laptop,,,,,,,,,,,,,5.0,1269,https://www.thegioididong.com/laptop/lenovo-loq-15arp9-r7-83jc0040vn,2024,2025-08-31 18:50:24
333102,"Laptop Dell Inspiron 15 3520 - N3520-i7U165W11BLU-FP (i7 1255U, 16GB, 512GB, Full HD 120Hz, OfficeHS, Win11)",18990000,Dell,Laptop,,,,,,,,,,,,,5.0,958,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i7-n3520i7u165w11blufp,2024,2025-08-31 18:50:24
328815,"Laptop HP Envy X360 14 fa0050AU - A29H8PA (R5 8640HS, 16GB, 512GB, 2.8K OLED, Cảm ứng, Win11)",25890000,HP,Laptop,,,,,,,,,,,,,5.0,280,https://www.thegioididong.com/laptop/hp-envy-x360-14-fa0050au-r5-a29h8pa,2024,2025-08-31 18:50:24
329787,"Laptop MSI Prestige 14 AI Studio C1UDXG - 058VN (Ultra 7 155H, 16GB, 1TB, RTX 3050 6GB, Full HD+ 144Hz, Win11)",28590000,MSI,Laptop,,,,,,,,,,,,,5.0,40,https://www.thegioididong.com/laptop/msi-prestige-14-ai-studio-c1udxg-ultra-7-058vn,2024,2025-08-31 18:50:25
327977,"Laptop Asus Vivobook 15 X1504ZA - NJ1546W (i5 1235U, 16GB, 512GB, Full HD, Win11)",13990000,Asus,Laptop,,,,,,,,,,,,,4.9,1980,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i5-nj1546w,2023,2025-08-31 18:50:26
334794,"Laptop Asus Vivobook 16 X1605VA - MB1876WS (i5 13420H, 16GB, 512GB, WUXGA, OfficeH24+365, Win11)",15190000,Asus,Laptop,,,,,,,,,,,,,5.0,707,https://www.thegioididong.com/laptop/asus-vivobook-16-x1605va-i5-mb1876ws,2025,2025-08-31 18:50:26
326050,"Laptop HP 15 fd0303TU - A2NL4PA (i3 1315U, 8GB, 512GB, Full HD, Win11)",11390000,HP,Laptop,,,,,,,,,,,,,5.0,8656,https://www.thegioididong.com/laptop/hp-15-fd0303tu-i3-a2nl4pa,2024,2025-08-31 18:50:27
336036,"Laptop Asus Vivobook 15 X1504VA - BQ2225WS (i5 1334U, 16GB, 512GB, Full HD, OfficeH24+365, Win11)",14990000,Asus,Laptop,,,,,,,,,,,,,5.0,934,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-i5-bq2225ws,2025,2025-08-31 18:50:29
335364,Laptop MacBook Air 13 inch M4 16GB/512GB,30190000,MacBook,Laptop,,,,,,,,,,,,,5.0,995,https://www.thegioididong.com/laptop/macbook-air-13-inch-m4-16gb-512gb,03/2025,2025-08-31 18:50:29
336036,"Laptop Asus Vivobook 15 X1504VA - BQ2225WS (i5 1334U, 16GB, 512GB, Full HD, OfficeH24+365, Win11)",14990000,Asus,Laptop,,,,,,,,,,,,,5.0,934,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-i5-bq2225ws,2025,2025-08-31 18:50:30
308697,"Laptop MSI Gaming GF63 Thin 12VE - 460VN (i5 12450H, 8GB, 512GB, RTX 4050 6GB, Full HD 144Hz, Win11)",19290000,MSI,Laptop,,,,,,,,,,,,,4.9,1009,https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-12ve-i5-460vn,2023,2025-08-31 18:50:30
328443,"Laptop HP Gaming VICTUS 16 s0173AX - A9LG9PA (R5 7640HS, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",19690000,HP,Laptop,,,,,,,,,,,,,5.0,309,https://www.thegioididong.com/laptop/hp-victus-16-s0173ax-r5-a9lg9pa,2024,2025-08-31 18:50:31
332450,Laptop MacBook Pro 14 inch Nano M4 Pro 24GB/512GB,51290000,MacBook,Laptop,,,,,,,,,,,,,5.0,110,https://www.thegioididong.com/laptop/macbook-pro-14-nano-m4-pro-24-512,10/2024,2025-08-31 18:50:31
335364,Laptop MacBook Air 13 inch M4 16GB/512GB,30190000,MacBook,Laptop,,,,,,,,,,,,,5.0,995,https://www.thegioididong.com/laptop/macbook-air-13-inch-m4-16gb-512gb,03/2025,2025-08-31 18:50:31
334792,"Laptop Asus Vivobook 15 X1504VA - NJ1634W (i3 1315U, 8GB, 512GB, Full HD, Win11)",10690000,Asus,Laptop,,,,,,,,,,,,,5.0,2448,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-i3-nj1634w,2025,2025-08-31 18:50:31
338320,"Laptop Asus Vivobook S14 S3407CA - LY095WS (Ultra 5 225H, 16GB, 512GB, WUXGA, OfficeH24+365, Win11)",20990000,Asus,Laptop,,,,,,,,,,,,,5.0,159,https://www.thegioididong.com/laptop/asus-s3407ca-ultra-5-ly095ws,2025,2025-08-31 18:50:32
325697,"Laptop Acer Gaming Nitro V ANV15 51 55CA - NH.QN8SV.004 (i5 13420H, 16GB, 512GB, RTX 4050 6GB, Full HD 144Hz, Win11)",23990000,Acer,Laptop,,,,,,,,,,,,,5.0,602,https://www.thegioididong.com/laptop/acer-nitro-v-anv15-51-55ca-i5-nhqn8sv004,2023,2025-08-31 18:50:33
