id,name,price,onsale_price,brand,os,stock,rating,reviews_count,category,is_new,is_selling,url,retailer,created_at,updated_at
104284,vivo V50 LITE 5G 12GB 256GB,10990000,10310000,Vivo,,38,,,Phone,True,True,https://cellphones.com.vn/vivo-v50-lite-5g.html,CELLPHONES,2025-04-14 18:43:05,2025-08-22 23:22:26
56076,Samsung Galaxy S23 FE 5G 8GB 128GB,14890000,0,Samsung,Android 13,0,4.9,7,Smartphone,True,True,https://cellphones.com.vn/samsung-galaxy-s23-fe.html,CELLPHONES,2022-11-14 22:21:55,2025-08-22 23:22:26
62375,Masstel X5,,,Hãng khác,Android 8.1 Oreo (Go Edition),,,,Smartphone,True,False,https://cellphones.com.vn/masstel-x5.html,CELLPHONES,2023-04-12 10:00:39,2025-08-22 23:22:26
39188,Xiaomi Redmi Note 11 Pro Plus 5G - Chỉ có tại CellphoneS,9990000,6090000,Xiaomi,"Android 11, MIUI 12.5",0,4.9,33,Smartphone,True,True,https://cellphones.com.vn/xiaomi-redmi-note-11-pro-plus.html,CELLPHONES,2021-10-26 09:50:39,2025-08-22 23:22:26
55529,Google Pixel 2,,,Hãng khác,Android 8.0,,,,Smartphone,True,False,https://cellphones.com.vn/google-pixel-2.html,CELLPHONES,2022-10-27 16:22:08,2025-08-22 23:22:26
33217,Nokia X50,0,0,Nokia,,0,,,Phone,True,False,https://cellphones.com.vn/nokia-x50.html,CELLPHONES,2021-05-07 16:21:33,2025-08-22 23:22:26
28025,Samsung Galaxy S21 Plus 5G,25990000,0,Samsung,"Android 11, One UI 3.0",0,4.3,10,Smartphone,True,True,https://cellphones.com.vn/samsung-galaxy-s21-plus.html,CELLPHONES,2020-11-03 16:46:33,2025-08-22 23:22:26
100815,iPhone 16e 256GB | Chính hãng VN/A,19990000,17990000,Apple,iOS 18,2,5.0,1,Smartphone,True,True,https://cellphones.com.vn/iphone-16e-256gb.html,CELLPHONES,2025-02-20 00:12:23,2025-08-22 23:22:26
73016,realme C67 8GB 128GB,5290000,4290000,Realme,Android 14,0,4.9,17,Smartphone,True,True,https://cellphones.com.vn/dien-thoai-realme-c67.html,CELLPHONES,2023-12-02 17:29:37,2025-08-22 23:22:26
35034,Xiaomi 11T Pro,14990000,11990000,Xiaomi,"Android 11, MIUI 12.5",0,4.7,30,Smartphone,True,True,https://cellphones.com.vn/xiaomi-mi-11t-pro.html,CELLPHONES,2021-06-21 09:30:40,2025-08-22 23:22:26
41134,Xiaomi Redmi Note 11S,6690000,4990000,Xiaomi,"MIUI 13, Android 11",0,4.8,16,Smartphone,True,True,https://cellphones.com.vn/xiaomi-redmi-note-11s.html,CELLPHONES,2021-12-06 09:09:35,2025-08-22 23:22:26
59291,Motorola Moto E13,,,Hãng khác,Android 13,,,,Smartphone,True,False,https://cellphones.com.vn/motorola-moto-e13.html,CELLPHONES,2023-02-01 14:51:12,2025-08-22 23:22:26
55082,Vivo X90 Pro Plus,,,Vivo,Android 13,,,,Smartphone,True,False,https://cellphones.com.vn/vivo-x90-pro-plus.html,CELLPHONES,2022-10-17 23:14:19,2025-08-22 23:22:26
49629,Oneplus 10T 5G 16GB 256GB,17990000,15990000,Hãng khác,"Android 12, OxygenOS 12.1",0,,,Smartphone,True,True,https://cellphones.com.vn/oneplus-10t.html,CELLPHONES,2022-07-11 18:50:26,2025-08-22 23:22:26
103058,Điện thoại Itel P55 Plus NFC 8GB 256GB,3490000,2990000,Hãng khác,Android 13,497,5.0,4,Smartphone,True,True,https://cellphones.com.vn/dien-thoai-itel-p55-plus-8gb-256gb.html,CELLPHONES,2025-03-21 17:10:22,2025-08-22 23:22:26
109158,TECNO Spark Go 2 4GB 64GB,0,0,Tecno,Android 15 Go edition,0,,,Smartphone,True,False,https://cellphones.com.vn/dien-thoai-tecno-spark-go-2.html,CELLPHONES,2025-07-17 21:46:01,2025-08-22 23:22:26
57499,Samsung Galaxy S23 Ultra 12GB 512GB ,36990000,22290000,Samsung,Android,0,4.8,26,Smartphone,True,True,https://cellphones.com.vn/samsung-galaxy-s23-ultra-12gb-512gb.html,CELLPHONES,2022-12-16 10:43:23,2025-08-22 23:22:26
81109,Samsung Galaxy C55,,,Samsung,,,,,Phone,True,False,https://cellphones.com.vn/dien-thoai-samsung-galaxy-c55.html,CELLPHONES,2024-04-23 22:19:21,2025-08-22 23:22:26
83040,Sony Xperia 10VI 8GB 128GB,11990000,8290000,Hãng khác,,10,4.7,3,Phone,True,True,https://cellphones.com.vn/dien-thoai-sony-xperia-10-vi.html,CELLPHONES,2024-05-22 22:00:58,2025-08-22 23:22:26
61511,Xiaomi Redmi Note 12 Pro 4G 8GB 256GB,7990000,5690000,Xiaomi,MIUI 13 dựa trên Android 11,0,4.5,17,Smartphone,True,True,https://cellphones.com.vn/xiaomi-redmi-note-12-pro-4g.html,CELLPHONES,2023-03-21 14:54:15,2025-08-22 23:22:26
33626,Xiaomi Redmi Note 11 Pro,7490000,5790000,Xiaomi,"Android 11, MIUI 12.5",0,4.8,32,Smartphone,True,True,https://cellphones.com.vn/xiaomi-redmi-note-11-pro.html,CELLPHONES,2021-05-17 11:34:27,2025-08-22 23:22:26
62355,masstel izi 12 4g,,,Hãng khác,,,,,Phone,True,False,https://cellphones.com.vn/masstel-izi-12-4g.html,CELLPHONES,2023-04-11 22:43:27,2025-08-22 23:22:26
79116,TCL 505,,,Hãng khác,Android 14,,,,Smartphone,True,False,https://cellphones.com.vn/dien-thoai-tcl-505.html,CELLPHONES,2024-03-19 23:19:40,2025-08-22 23:22:26
52303,OPPO Find X6 Pro,,,OPPO,,,,,Phone,True,False,https://cellphones.com.vn/oppo-find-x6-pro.html,CELLPHONES,2022-09-07 21:38:20,2025-08-22 23:22:26
